CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
KMH-2,1298167,200,200_1298167,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969093466,0.937827124,0.75994572,0.361690578,0.062568837,0.023849869,0.018404783,0.018052357,0.01781064,Dacinostat,KMH-2,0.030906533999999986,0.0002417170000000024
ROS-50,1331025,136,136_1331025,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.9503863,0.953033209,0.899892472,0.84430738,0.807811102,0.677029728,0.320161498,0.138721816,0.124162293,Mitomycin-C,ROS-50,0.04961369999999998,0.014559522999999991
NOMO-1,908451,167,167_908451,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951608558,0.979519148,0.91598002,0.853569966,0.711992788,0.673625201,0.619197069,0.007317701,0.00667737,OSU-03012,NOMO-1,0.04839144200000001,0.0006403310000000001
TE-5,735784,104,104_735784,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.956985738,0.974016205,0.905317598,0.409608082,0.119978799,0.037126733,0.042724876,0.04600048,0.078703074,Bortezomib,TE-5,0.043014262000000025,0.032702593999999995
SUP-B15,1247871,173,173_1247871,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.972975034,0.984880041,0.971636512,0.899944187,0.665244599,0.294422748,0.051972395,0.020809552,0.015750903,FH535,SUP-B15,0.02702496600000004,0.005058648999999998
PCI-38,1240205,274,274_1240205,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.989315376,0.872485968,0.80419696,0.695918773,0.512531174,0.314041787,0.098393308,0.055904059,0.032741523,Belinostat,PCI-38,0.010684624000000031,0.023162535999999997
NOMO-1,908451,346,346_908451,2,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.994783828,0.859830479,0.581471845,0.040480674,0.062815233,0.014208526,0.003702901,0.005136711,0.013478145,THZ-2-102-1,NOMO-1,0.005216172000000019,0.008341434
DU-4475,906844,274,274_906844,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969821317,0.788077128,0.529336963,0.172767534,0.056308935,0.036114416,0.03812143,0.039680137,0.031928064,Belinostat,DU-4475,0.03017868300000004,0.007752072999999998
ES7,684059,1057,1057_684059,2,0.25,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970220058,0.887737224,0.970918604,0.73785266,0.602564981,0.297367381,0.194143634,0.070617833,0.113551182,Dactolisib,ES7,0.029779942000000004,0.042933348999999996
MOLT-4,905958,60,60_905958,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.96504565,0.960600559,0.965348653,0.967017545,0.893454613,0.086097819,0.020174986,0.01829193,0.016615106,BI-2536,MOLT-4,0.03495435000000002,0.0016768240000000004
IGR-37,1240153,173,173_1240153,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986729331,0.761603953,0.767143047,0.616378295,0.445545547,0.156567452,0.148955817,0.140047855,0.167848934,FH535,IGR-37,0.013270668999999957,0.027801079000000006
SU-DHL-16,1331034,41,41_1331034,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969171396,0.961794697,0.956136287,0.955986988,0.982442668,0.869304327,0.091378139,0.056119282,0.053908308,S-Trityl-L-cysteine,SU-DHL-16,0.03082860399999998,0.0022109739999999975
MV-4-11,908156,86,86_908156,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952557355,0.866963815,0.816221909,0.741826235,0.509160215,0.036727335,-0.003761914,0.006574836,0.007755506,A-443654,MV-4-11,0.04744264499999995,0.00118067
KY821,907300,245,245_907300,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998292609,0.97969673,0.950090134,0.979485832,0.957845242,0.966959925,0.657237809,0.01836025,0.00061513,UNC0638,KY821,0.001707390999999947,0.017745120000000003
BALL-1,910705,1004,1004_910705,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.991162882,0.998311828,0.942453458,0.861073952,0.578006168,0.065475615,0.066837226,0.070631748,0.076540495,Vinblastine,BALL-1,0.008837117999999977,0.005908747000000006
KYSE-450,907320,170,170_907320,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.989360824,0.55754581,0.057922898,0.015502817,0.01052749,0.012296554,0.01219753,0.011167137,0.004080173,Shikonin,KYSE-450,0.010639175999999972,0.007086964
WM1158,1299077,134,134_1299077,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950615173,0.997998305,0.712871233,0.442011609,0.089264652,0.027073604,0.031913639,0.043672091,0.024516273,Etoposide,WM1158,0.04938482700000002,0.019155818
Hs746T,1240151,223,223_1240151,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.981432535,0.750024412,0.710226969,0.627766954,0.546148002,0.488911601,0.270726091,0.136539327,0.106142486,ZSTK474,Hs746T,0.01856746499999995,0.030396840999999994
EW-24,949168,136,136_949168,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951055827,0.974229829,0.907693318,0.678060514,0.408785472,0.167117897,0.064677759,0.048525658,0.062554356,Mitomycin-C,EW-24,0.04894417299999998,0.014028698000000006
KYSE-450,907320,328,328_907320,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.973930646,0.904276587,0.324166257,0.151469162,0.098266211,0.076895585,0.069065372,0.079640731,0.078274335,SNX-2112,KYSE-450,0.02606935399999999,0.0013663960000000058
IGROV-1,905968,1031,1031_905968,2,0.2,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.974632753,0.850026953,0.562574949,0.449152938,0.266171607,0.203509716,0.169892502,0.113274568,0.14512912,Elesclomol,IGROV-1,0.025367247000000037,0.031854551999999994
CAL-12T,753540,235,235_753540,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957069591,0.919227356,0.629856849,0.296770338,0.122610385,0.092032815,0.086033496,0.039535698,0.028925496,QL-XII-47,CAL-12T,0.042930409,0.010610202000000003
HT-1376,907066,172,172_907066,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.954375935,0.999995021,0.983990104,0.954614721,0.922523732,0.606277186,0.40069477,0.187769289,0.195070215,Embelin,HT-1376,0.04562406500000005,0.007300925999999985
